"user id"," reaction"," count"
"jane","+1","154"
"jane","+1::skin-tone-3","147"
"jane","propeller","72"
"jane","boom","64"
"jane","golden_sensor","61"
"jane","pineapple","43"
"jane","tada","38"
"jane","heart","26"
"jane","beers","22"
"jane","muscle","18"
"jane","sunglasses","14"
"jane","large_blue_circle","12"
"jane","simple_smile","11"
"jane","joy","11"
"jane","moneybag","9"
"jane","partyparrot","9"
"jane","disappointed","8"
"jane","hand","6"
"jane","john","6"
"jane","airplane","6"
"jane","raised_hands","6"
"jane","newlike","6"
"jane","flag-ca","6"
"jane","propeller-retro","6"
"jane","white_check_mark","5"
"fred","+1","501"
"fred","boom","74"
"fred","propeller","62"
"fred","tada","57"
"fred","joy","40"
"fred","golden_sensor","37"
"fred","clap","32"
"fred","muscle","26"
"fred","fiestaparrot","19"
"fred","partyparrot","18"
"fred","fastparrot","16"
"fred","dadparrot","15"
"fred","white_check_mark","13"
"fred","heart","13"
"fred","john","12"
"fred","ki","12"
"fred","doughnut","12"
"fred","charlie_lor","11"
"fred","pineapple","11"
"fred","moneybag","11"
"fred","joe","9"
"fred","beers","9"
"fred","hand","9"
"fred","cake","8"
"fred","heart_eyes_cat","8"
"fred","heart_eyes","8"
